ID,Section Title,Section Data,Section Type,Parent Sections,Related Sections,
93,Toxoplasma Gondii,"Cause: Protozoal parasite (Toxoplasma gondii)
Distribution: Worldwide
Source: Young cats, feed/forage contaminated by cat faeces
Samples for Diagnosis: Aborted placenta and lambs, blood samples from ewes
Treatment: Seek veterinary advice
Notifiable Disease: No
Risk to Humans: Yes, from cat faeces (1)

Toxoplasma gondii is a parasite which causes toxoplasmosis. It is transmitted by cats. Cats shed a high number of parasite oocysts ('eggs') in their faeces when they are young and first start hunting, they pick up the infection from rodents. Cats rarely present as unwell (2). If the cat defecates on pasture, forage, concentrate feed or into a sheep water source, sheep can ingest the oocysts, and they only need to eat a few 10s of oocysts to cause pregnancy loss or abortion. The oocysts can remain in the soil for up to 18 months, and in a water supply for up to 4.5 years (3).",Button,18,"22, 35, 38, 40, 68",Causes
94,Characteristics of Toxoplasmosis,"If the disease is introduced to a farm while ewes are pregnant, there can be a high barren ewe rate and/or many abortions. If the disease is already present, it may cause a constant low level of abortions every year. The ewes do not present as unwell. Toxoplasmosis can cause abortion of mummified or decomposed lambs, stillbirths and the birth of live weak lambs (4). One ewe can produce a mixture of these outcomes within one litter of lambs.

More information on toxoplasmosis is available at from The Moredun Foundation at: Control of Toxoplasma Abortion in Sheep, 2019. Available from: https://www.moredun.org.uk/sites/default/files/documents/diseases/Moredun%20Vol%207%20No%202%20Control%20of%20Toxoplasma%20Abortion%20in%20Sheep.pdf.",Expandable,93,,
95,Control,"Toxoplasmosis can be controlled by vaccination, managing cats appropriately, vermin control, providing clean water and avoiding feed contamination. Aborted material should be cleared away rapidly to prevent cats or vermin eating it, and being infected by the parasite. See Abortions - What to do? for immediate steps which should be undertaken following an abortion to prevent spread within the flock and zoonoses (infection of humans).",Expandable,93,,
96,Vaccination,"There is a vaccination available (Toxovax in the UK). Replacement/first time breeding ewes should be vaccinated with a single dose between 3 weeks and 4 months before breeding, provided they are over 5 months of age. Revaccination after 2 years is recommended by the manufacturer, at least 3 weeks before breeding. This vaccine cannot be used in pregnant ewes and should not be administered by anybody who is immunocompromised or pregnant (5).",Expandable,93,,
97,References,"(1)   NHS. Toxoplasmosis; 2020 [cited 2021 August 12]. Available from: https://www.nhs.uk/conditions/toxoplasmosis/.
(2)   Cornell Feline Health Center. Toxoplasmosis in Cats; 2018 [cited 2021 August 13]. Available from: https://www.vet.cornell.edu/departments-centers-and-institutes/cornell-feline-health-center/health-information/feline-health-topics/toxoplasmosis-cats.
(3)  Van Wormer E, Fritz H, Shapiro K, Mazet JA, Conrad PA. Molecules to modelling: Toxoplasma gondii oocysts at the human-animal-environment interface. Comp Immunol Microbiol Infect Dis. 2013;36(3):217-31. Available from: https://dx.doi.org/10.1016%2Fj.cimid.2012.10.006
(4) The Moredun Foundation. Control of Toxoplasma Abortion in Sheep; 2019 [cited 2021 August 15]. Available from: https://www.moredun.org.uk/sites/default/files/documents/diseases/Moredun%20Vol%207%20No%202%20Control%20of%20Toxoplasma%20Abortion%20in%20Sheep.pdf
(5)   Veterinary Medicines Directorate. Toxovax; 2020 [cited 2021 August 13]. Available from: https://www.vmd.defra.gov.uk/ProductInformationDatabase/product/A000451.",Expandable,93,,
98,Young Lamb Survival,,Button,20,,----------------------------------------
99,Causes,,Tab,98,,
100,Controls,,Tab,98,,
101,Colostrum,"Lambs should get colostrum of a good quantity and quality, quickly. Colostrum is important as an energy source to keep the lamb warm and prevent hypothermia. Colostrum also contains antibodies which are needed to create a healthy immune system, which lambs need to fight off disease. 

Lambs should receive a quantity of 50ml/kg of colostrum within 2 hours after birth, but really as quickly as possible after birth. Within the first 24hrs, they should have received 200ml/kg of colostrum. Especially triplets or small, weak lambs may not receive enough colostrum. They should be closely monitored or supplemented with another source. 

Receiving the colostrum quickly is essential as the brown fat a lamb can use as energy source will run out within a few hours, resulting in hypothermia if there is no alternative energy source. Furthermore, lambs are only able to absorb antibodies needed for their immune system for the first 6 hours after birth. Colostrum is also important as it provides passive immunity for some diseases, eg if the ewe has been vaccinated against Clostridia. 

All ewes' teats should be checked soon after birth (commonly this is done while the lambs undergo navel dipping). The udders and teats should be inspected for heat (an indicator of mastitis) or abnormal shape which may cause difficulty nursing. A little milk should be expelled from both teats to remove the hard wax plug, to make suckling easier for the lambs. If one or both udders do not produce milk, the lambs may need to be supplemented colostrum. Keep a close eye on this ewe and reassess her milk-producing capabilities a few hours later, alongside the appearance of the lambs. One or all of her lambs may need to be fostered onto another ewe or bottle fed if she is unable to produce enough milk. 

Lambs may need to be supplemented milk while the ewe recovers from disease, or if she cannot produce enough milk. These lambs can be kept with the ewe but also bottle fed. Note that there is a significant risk that the lamb will stop nursing from the ewe due to a preference for the bottle so care should be taken when undertaking this approach. 

The best quality of colostrum is fresh colostrum from the ewe. Alternative sources include:

- colostrum from another ewe (preferable)
- pooled cow's colostrum
- artificial colostrum (least preferable)

Colostrum from other ewes the flock can be milked by hand. Care must be taken to clean the ewes teat first, wear disposable gloves and use a clean container. This can be frozen and defrosted for later use. 

More information on colostrum for lambs can be found at this AHDB page: Colostrum Management for Lambs. Available from: https://ahdb.org.uk/knowledge-library/colostrum-management-for-lambs",Button,100,,Controls
102,Ewe and Lamb Observation,"Close observation of lambs and ewes is essential for early intervention. Quick treatment of disease, identification of mismothering, lambs in dangerous situations or dystocia will increase the survival rate.

All ewes (in or outdoors) should be gently encouraged to stand and move at least once daily. This is to check for lameness, prolapses, inability to stand and any other health conditions. Care must be taken to do this in a calm fashion to not cause stress to the ewes. Ewes should be treated accordingly. 

All lambs (in or outdoors) should also be encouraged to stand and move around at least once daily. This is to identify any health issues which may be missed otherwise. Lameness, mismothering, dull lambs, signs of starvation or disease can all be observed this way. Take care to not stress the flock, as there is a risk of mismothering and lamb injury associated with this. If there is concern about any lambs, they should be examined, their identifying number noted, brought into a closer field or indoors (where applicable) and treated accordingly. 

There should be adequate staff to check on both fields and sheds regularly. Common recommendations are 1 experienced shepherd per 250-300 ewes indoors, and 1 per 600-1,000 ewes outdoors. If any staff are trainees or students, staffing levels should be higher to allow for this. 

Staff should be taught what to look out for when looking over the flock. Behaviours, vocalisations, symptoms of disease, treatment protocols and signs of lambing, dystocia and mismothering should all be covered. 

Known field hazards (e.g. gullies or streams) should be checked regularly for lambs which are stuck, unwell or in danger. 

Transport and trailers e.g. pickup trucks or quad bikes should be in full working order for the start of lambing time. Plenty of fuel should be available on farm, running out suddenly could render vehicles useless and leave staff unable to access fields or transport sheep.",Button,100,,Controls
103,Ewe-Lamb Bonding,"The bond between the ewe and the lamb is very important to prevent mismothering, which is a significant risk factor for increased lamb mortality. A good ewe-lamb bond results in licking of the lamb to dry and stimulate it, increased suckling behaviour to increase colostrum intake, maternal behaviour that avoids lambs being abandoned or left behind by ewes.
 

For optimal bonding
 -    Ensure there is adequate food and water easily accessible to the ewe. A hungry or thirsty ewe will travel in search of water or food, and her lambs may not be able to keep up. Furthermore, ewes with inadequate nutrition will produce less milk.
 -    Move ewes to the lambing area a few days before they are due to lamb, to reduce stress levels in the ewes before lambing starts. This allows them to get used to the environment, which may be different to their previous environment. This is especially important in first time lambers.
 -    Avoid disturbing ewes during birth. Observe their progress from an inconspicuous location or distance. Interfere only when necessary, avoid loud noises and dogs. Monitor the flock for any other sources of stress. 
 -    Do not overstock the pens or fields. This reduces disturbance of lambing and newly lambed ewes by other ewes. In group pens, there should be 1.1m2 per ewe. Individual pens should be at least 3m2 (1), to reduce the chance of ewes lying on their lambs. There should be one individual pen per 8 to 10 ewes for indoor lambing groups. 
 -    Lambing pens and fields should be secure, to avoid lambs becoming physically separated from the ewe. If they become separated, the mother may leave the lamb and not accept it when they are reunited. There is also increased risk to the lamb of starvation, accidents, hypothermia, attack by other sheep and predation when separated from the mother. 
 -    Select replacement ewe lambs born to ewes with good maternal ability. Assess ram EBVs (Estimated Breeding Values), selecting for good maternal qualities. A guide to assessing ram EBVs is available here (2). Genetics are important in determining mothering ability.
 -    Keep rams separate from late pregnant and newly lambed ewes. They may try breed with the ewe, and sometimes kill lambs. 
 -    Separate pregnant ewes from ewes with lambs. Pregnant ewes close to lambing can become ""lamb-nappers"", trying to steal other ewes' lambs. This can result in mismothering if the mother becomes separated from one or her own lambs. Any particularly bad ""lamb-nappers"" can be separated from the rest of the flock to prevent them from stealing lambs as soon as they are born. This can occasionally be seen in ewes who have lost their own lambs, and mistake other lambs as their own. These ewes should also be separated from ewes with new-born lambs or pregnant ewes anyway for infection control reasons. 


Look out for ewes rejecting lambs. They may try push them away, headbutt them or prevent them from suckling, by moving continually. Lambs which have been rejected by their mothers are often noisy, hungry, and are susceptible to starvation and hypothermia. 

If a ewe seems disinterested in her lamb(s),
- Check the ewe and lamb(s) for signs of ill health, for example mastitis in the ewe.
- House them together in a small individual pen, to give them a better chance to bond.
- Ewes which will not let their lambs nurse but do not try to harm their lambs may need to be temporarily restrained to allow the lambs to feed.
- If the ewe is attacking her lamb the ewe may need restraining for longer, using an adoption pen or halter. Ensure that the ewe has easy access to food and water at all times, and is able to lie down. The ewe can be released under supervision to check if she will accept the lamb every day. Be ready to intervene in case she attacks the lamb again. Bedding may need to be changed more often due to urination and defecation happening in just one spot. Check daily that the restraint is not causing the ewe discomfort, such as rubbing or other injuries. If the ewe does not accepting the lamb, they may need to be separated. The lamb should join the orphan/pet lambs, and the ewe should be marked so she can be identified for culling later in the year.
     

Identify ewes which are not good mothers and do not retain these for further breeding.",Button,100,,Controls
104,References,"(1) HCC. Making Every Lamb Count; 2011 [cited 2021 August 18]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(2) Quality Meat Scotland. Using EBVs as a Tool  to Breed Better Sheep; 2019 [cited 2021 August 18]. Available from: https://www.qmscotland.co.uk/news/updated-guide-highlights-valuable-role-ebvs.",Expandable,103,,
105,Ewe Nutrition,"Correct ewe nutrition is a hugely important factor influencing lamb survival (1). It influences
 - lamb birth weight
 - colostrum quantity and quality
 - brown fat of the lamb
 - mismothering
 - lamb vigour
 - presentation of the lamb during birth  


Both over and under nutrition of the ewe can have detrimental effects for both ewes and lambs, although undernutrition is most problematic. The recommended target body condition scores (BCS) for ewes at key part of the production cycle can be found on the HCC guide: Practical Sheep Nutrition; 2006. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
 

A constant supply of good quality forage should be available (either conserved or grazed). Extra feed should be supplied if needed, for example during late pregnancy, if forage is poor or for ewes carrying multiples. If feed is limited, livestock numbers should be reduced so the feed demand can be met.

To ensure adequate nutrition of breeding and pregnant ewes
 - Monitor ewe BCS before and after breeding, in mid pregnancy, before and after lambing and at weaning
 - Pregnancy scan ewes in mid pregnancy to determine how many lambs they are carrying, so that they can be fed appropriately
 - Get forage analysed ahead of time to allow additional feeding to be sourced before it is needed
 - Consult a nutritionist and/or vet to provide a pregnant ewe diet
 - Ensure there is enough space for all ewes to access food, recommendations vary depending on whether feed is ad lib or limited, see the AHDB Feeding the ewe, available from: https://ahdb.org.uk/knowledge-library/feeding-the-ewe for more details
 - Blood sample ewes 3 – 4 weeks prior to lambing to check nutrition is appropriate


Most of the lamb growth occurs during the last 6 weeks of pregnancy, therefore this is the most important period for feeding. During this time the ewe needs energy and protein for lamb growth, udder development, and colostrum production. Lamb birth weight and survival are greatly influenced by nutrition during this time. Therefore ewes should be separated into groups and fed according to the number of lambs they are carrying for the final eight weeks of pregnancy.  This includes two weeks of settling in time. Four commonly used categories are young ewes, ewes carrying single lambs, twin lambs, and lastly those carrying triplets or more. Adjustment can be made within and between these groups according to ewe body condition, with thin ewes being moved up a group, to a group being fed more. Not only does this help with monitoring and maintaining the correct body condition of ewes, it also helps reduce pregnancy toxaemia and hypocalcaemia (2). 

During early lactation, the ewe will devote a lot of energy and protein to produce milk for her lambs. The growth of lambs is dependent on the amount of milk the ewe produces. To keep the quality and quantity of milk high, and prevent ewes losing too much body condition. Ewes often require additional feeding during the first 4 – 8 weeks of lactation, depending on grass availability (3).",Button,100,,Controls
106,References,"(1) Dwyer CM, Lawrence AB, Bishop SC, Lewis M. Ewe–lamb bonding behaviours at birth are affected by maternal undernutrition in pregnancy. British Journal of Nutrition. 2003;89(1):123-36. Available from: https://doi.org/10.1079/BJN2002743
(2) Alidadi N, Rafia S, Moaddab SH., Outbreak of primary pregnancy toxemia in ewes due to misdiagnosis of pregnancy by ultrasonography, Onl J Vet Res., (9):935-941, 2019
(3) HCC. Practical Sheep Nutrition; 2006 [cited 2021 August 16]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.",Expandable,105,,
107,Field Management,"Management of the environment the lambs grow up in can have a major impact on lamb mortality. 

Fields should have shelter available for hot, cold, windy or wet weather conditions. 

There should be clean, fresh water and feed available for the ewe to ensure sufficient milk production. 

Fencing and gates should be adequate to keep lambs in, and there should be no gaps. This will prevent lambs escaping and then becoming susceptible to accidents, predation, mismothering, starvation or hypothermia. 

The field should not contain any hazards like steep drops or deep water to minimise the chance of accidents. 

Fields should be checked regularly. All ewes and lambs should be accounted for, and separated lambs and ewes reunited. Watch if the lamb and ewe stay together or immediately separate again. If so, undertake bonding protocols.  Care should be taken to make sure all lambs look healthy and none are looking particularly hungry, cold or injured. Ewes should be checked for any health problems, as ill health of the ewe can result in starvation of the lamb. Any unwell sheep or lambs should be brought into a observation/hospital pen or field along with their mother/any other lambs in the litter and treated for their condition. 

Ensure there is adequate staffing to undertake regular rounds of the fields regardless of how busy it may get. When undertaking field rounds, staff should have a trailer or means of transporting lamb and ewe, and an equipment bag with them for immediate transport and treatment of ewes and lambs. 

Fields which are prone to predators should not be used for young lambs. Attacks can be prevented by predator control, working with local gamekeepers, adding addition fencing or moving sheep to another area (1). Fields close to dog walking routes should also be avoided. 

If lambing indoors, ewes and lambs should not be turned out to pasture unless they are all fit, strong and healthy. Any doubtful cases should be kept indoors for longer or turned out to a close by field for extra observation.

If lambing outdoors, keep ewes in a close by, sheltered, safe field. It is especially important during this time to check all areas of the fields for lambs which may have been left behind, are unwell or stillborn. This may be difficult in fields with large ditches, dense vegetation or rough terrain, so these field should ideally not be used for this purpose. ",Button,100,,Controls
108,References,"(1)    Murray L, Warren R. Sheep Attacks and Harassment Research; 2019 [cited 2021 August 16]. Available from: https://www.gov.scot/publications/sheep-attacks-harassment-research/pages/2/.",Expandable,107,,
109,Good Hygiene,"Good cleaning methods are very important for preventing disease spread in the flock. They decrease the amount of bacteria present in the environment which could potentially infect animals. It is important for ewe disease, abortion rates in future years and lamb diseases. Once a lamb has an infection, it is often difficult to treat. Therefore, preventing them is very important. 

If a ewe has aborted or produced a stillborn lamb, she should be isolated from other ewes and lambs, with any remaining offspring for a minimum of 4 weeks. This is to prevent a potentially infectious cause of abortion spreading in the flock. See Abortions - What to do? for more details. 

Each lambing pen should be cleared of all bedding and birth materials after use. The floor should be brushed to remove any smaller bits of bedding. It can then be sprayed with a disinfectant, and allowed to dry before adding in new bedding. There is a list of DEFRA approved disinfects available here (1). FAS also has guidance of disinfectants available (2). Care should be taken when working with disinfectants. 

Equipment like stomach tubes, bottles and teats should be cleaned rinsed with hot water after each use and cleaned regularly to prevent the spread of disease between different lambs. They can be soaked in an appropriate disinfectant. 

Ideally, disposable gloves should be used when assisting a ewe birth. If lambing without gloves, sleeves should be pulled up far enough to not come in contact with the ewe. Arms, hands and any clothing which came into contact with birthing fluids (eg waterproof trousers) should be cleaned with hot soapy water after every lambing before coming in contact with other ewes or lambs. 

Clean trailers used for transporting sheep regularly. Clear out any debris and disinfect. 

Any sheds used for livestock should be clean, well ventilated and dry with adequate draining. Lambs are particularly susceptible to infectious disease, so this is extra important. 

There should be a hospital area where sick lambs and ewes can be kept away from the healthy animals as closely observed There should also be a separate area (inside or outside) for ewes who have aborted and their remaining lambs.

Perform navel dipping of all newborn lambs. 

Dispose of fallen stock, stillborn and aborted lambs quickly, safely and legally. The dead stock collection site should be away from healthy animals, and at the edge of the farm boundary (3). Ensure that other animals and scavengers cannot access the carcases. Covered bins are useful for temporary storage until dead stock can be collected, but they must be leakproof and be cleaned and disinfected regularly (4).",Button,100,,Controls
110,References,"(1) DEFRA. Disinfectants Approved for use in England, Scotland and Wales [cited 2021 August 19]. Available from: http://disinfectants.defra.gov.uk/DisinfectantsExternal/Default.aspx?Module=ApprovalsList_SI.
(2) FAS. Disinfectants at lambing [cited 2021 August 19]. Available from: https://www.fas.scot/publication/lambing-information-sheet-disinfectants-at-lambing/.
(3)   Scotland's Healthy Animals. Dead Animals [cited 2021 August 18]. Available from: https://www.scotlandshealthyanimals.scot/disease-avoidance/farmers-livestock-keepers/how-you-can-avoid-disease/dead-animals/.
(4)   GOV.UK. Fallen stock and safe disposal of dead animals; 2012 [cited 2021 August 19]. Available from: https://www.gov.uk/guidance/fallen-stock.",Expandable,109,,
111,Navel Dipping,"Newborn lamb's navels should be treated with a strong iodine solution (preferably 10% mix of iodine and alcohol) as soon as possible after birth. This should be repeated 2-4 hours later. This is a disinfectant that will help prevent the growth of bacteria, as well as helping the navel dry out. This will help prevent infections through the navel (1). 

Treatment of the navel with iodine can be done either by spraying it with a spray bottle, or by dipping the navel. Care must be taken to apply iodine all the way around the navel, not missing the area the umbilicus is hanging over. 

The container of iodine must be kept clean. When dipping navels, debris like straw, bacteria and faeces can get into the solution. Rather than refilling the iodine bottle when it gets empty, empty it out and clean it before refilling it. This reduces disease spread between lambs (2). 

Shepherds should carry iodine with them when checking on ewes lambing outdoors, so iodine can be applied as soon as possible.",Button,100,,Controls
112,References,"(1) AHDB Beef & Lamb. Reducing lamb losses for Better Returns; 2020 [cited 2021 August 17]. Available from: https://ahdb.org.uk/knowledge-library/reducing-lamb-losses-for-better-returns-2.
(2) FAS, Williams K. Tips For Treating Lambs Navels; 2018 [cited 2021 August 17]. Available from: https://www.fas.scot/article/tips-for-treating-lambs-navels/.",Expandable,111,,
113,Reduce Stress,"Keeping stress levels low is especially important around lambing time. Stressed ewes are at a higher risk of dystocia, mismothering, produce a lower quantity and quality of milk and may injure themselves or lambs.

Keep the handling of pregnant sheep to a minimum. When handling is necessary use a  gentle and calm handling technique, using funnels, races and crates to minimise stress. Also keep the use of dogs to a minimum when working with pregnant ewes. Avoid transporting ewes within 2 weeks before lambing, 3 weeks if they are carrying multiple lambs. 

Ewes should be brought to their lambing shed/field at least 2 weeks before lambing. This will allow them to get used to their new surroundings and settle down before they are due to lamb. It will also avoid transporting ewes in labour, as stress hormones can cause labour to pause and result in dystocia (1). 

Stress during the birthing process or immediately following it can result in the ewe abandoning the lamb(s) (2). Hence, lambing ewes should be monitored but not interrupted unless necessary for the welfare of the ewe or lamb. Any particularly noisy or disruptive activities near the lambing ewe should be postponed until later. Extra care should be taken with ewes lambing for the first time as they are more prone to mismothering due to stress (2). 

When the ewes have lambed, take great care when herding or transporting them. This should be done slowly and carefully. Stressed ewes may injure or trod on lambs, and are a higher risk of mismothering. Furthermore, ewes which are feeling their lambs are threatened may pose a danger to humans and sheepdogs. 

Shade or shelter should be provided during warm periods to reduce heat stress. There should also be constant access to clean, fresh water. Ewes should be closely monitored for signs of heat stress when the temperature humidity index is high. 

Where possible keep pregnant ewes and lambs away from areas where they may encounter pet dogs. Put up signage to inform dog walkers that there are sheep in the field and remind them that sheep worrying is illegal. Talking to dog owners may also be worthwhile. Wildlife attacks can be prevented by predator control, working with local gamekeepers, adding additional fencing or moving sheep to another area (3).",Button,100,,Controls
114,References,"(1) Jacobson C, Bruce M, Kenyon PR, Lockwood A, Miller D, Refshauge G, et al. A review of dystocia in sheep. Small Ruminant Research. 2020;192:106209. Available from: https://doi.org/10.1016/j.smallrumres.2020.106209 
(2) HCC. Making Every Lamb Count; 2011 [cited 2021 August 22]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(3)   Murray L, Warren R. Sheep Attacks and Harassment Research; 2019 [cited 2021 August 20]. Available from: https://www.gov.scot/publications/sheep-attacks-harassment-research/pages/2/.",Expandable,113,,
115,Selection of Breeding Stock,"The yearly selection of breeding stock is an important event which will contribute to the success of the next year's lambing. Eliminating certain ewes and rams will result in the birth of stronger, healthier lambs with lower mortality rates. 

Ewes which did not perform well during lambing time should be marked so they can be easily identified later on in the year. Common reasons for culling ewes include:

- prolapse - this is likely to reoccur during the next pregnancy
- teat conformation - some shapes or teat positions can make it difficult for the lamb to nurse
- mismothering of her lamb(s)
- poor dentition/teeth - ewes will not be able to eat enough to be in a good body condition
- mastitis
- poor body condition compared to other ewes - these ewes will produce lambs less likely to survive
- old age - lamb survival is optimal at an ewe age of 3 (1). Furthermore, cull value will be better while the ewe is slightly younger. Most ewes are culled before the age of 6
- producing poor or weak lambs
- poor milk production
- lost lambs due to dysocia
- foot issues
- late lambing ewes which had trouble getting pregnant during the first couple of cycles
- behavioural issues like jumping fences
- not having enough feed/space to maintain a flock the current size

Rams can be culled due to:
- reduced fertility
- old age
- producing lots of lambs with genetic birth defects e.g. entropion
- any issues regarding the testicles
- poor dentition/teeth
- if you want to improve the flock by replacing a ram with a better one
- foot issues
- poor body condition

Additional reasons why lambs should not be kept for breeding purposes include:

- genetic malformations e.g. entropion
- if they have been in contact with aborting ewes (there is a risk of the lamb having picked up infectious disease)
- if littermates were stillborn or died within the first few days of life due to suspected infectious disease

If buying in new breeding stock, the disease and vaccination history of the herd should be taken into consideration. Ram estimated breeding values (EBVs) can be taken into account. For more information on how to maintain farm biosecurity and reduce the chance of disease coming onto the farm with new stock see here.",Button,100,,Controls
116,References,"(1) McLaren A, Kaseja K, Moore K, Mucha S, Dwyer C, Conington J. Lamb survival & ewe longevity; 2015 [cited 2021 August 25]. Available from: https://www.nationalsheep.org.uk/workspace/pdfs/coningtonjo22112015101634.pdf",Expandable,115,,
117,Warming the Lamb,"If a lamb is suspected to be cold, the lamb's temperature should be taken. This can be done quickly by putting a clean finger in the lambs mouth, as this can be a rough indicator of it the lamb is cold or not. A rectal thermometer should be used to determine if the lamb is suffering from hypothermia. Temperatures can be (1):
- over 40°C - lamb is suffering from a fever or overheating
- 39-40°C - normal
- 37-39°C - moderate hypothermia
- less than 37°C - severe hypothermia  

The lamb should be towel dried if wet, and if suspected to be be less than 5 hours old:
- moderate hypothermia - glucose injection not necessary due to brown fat reserves. Give 50ml of colostrum per kg of weight or help to drink from ewe. Place in a draft free indoor pen (warming box not necessary). Ensure the lamb nurses or continue to stomach tube every 2 hours. 
- severe hypothermia - the lamb should be rapidly warmed using a warming box at about 37-40°C. Take the lamb's temperature frequently, and give it colostrum by stomach tube when the temperature reaches 38°C. 

If the lamb is suspected to be more than 5 hours old and have severe hypothermia, it has probably used up it's brown fat reserves. This means it will be hypoglycaemic (have low blood sugar). A glucose injection should be administered before warming, or it is likely to result in death. The lamb should then be placed in a warming box. 

A lamb over 5 hours old with moderate hypothermia should be encouraged to drink from the ewe or given 50ml of colostrum per kg of body weight. 

Warm boxes should be between 37 and 40°C. The box should not be allowed to get any hotter than this. Once the lamb's internal temperature reaches 38°C, it should be moved to a draft free indoor pen instead. 

See the FAS decision tree here (2)or page 20 of AHDB Reducing Lambing Losses (1) for a flow chart on how to treat hypothermic lambs.",Button,100,,Controls
118,References,"(1)   AHDB Beef & Lamb. Reducing lamb losses for Better Returns; 2020 [cited 2021 August 18]. Available from: https://ahdb.org.uk/knowledge-library/reducing-lamb-losses-for-better-returns-2.
(2)   FAS. Treating hypothermia in newborn lambs [cited 2021 August 18]. Available from:  https://www.fas.scot/livestock/sheep/hypothermia-lambs/",Expandable,117,,
